ADDRESS	CRIME_TYPE	<YEAR1>	CRIME_COUNT	<YEAR2>	CRIME_COUNT...
-97.59031555,30.34034067	CRASH/LEAVING THE SCENE	2015	1	2010	1	
-97.59069629,30.34111344	CRIMINAL MISCHIEF	2015	1	2010	1	
-97.59069629,30.34111344	CRASH/LEAVING THE SCENE	2015	1	2010	1	
-97.59191375,30.34067465	IMPOUNDED VEH	2015	1	2010	1	
-97.59191375,30.34067465	CRIMINAL MISCHIEF	2015	1	2010	1	
-97.59191375,30.34067465	CRASH/LEAVING THE SCENE	2015	1	2010	1	
-97.59369388,30.33951626	IMPOUNDED VEH	2015	1	2010	1	
-97.59369388,30.33951626	CRIMINAL MISCHIEF	2015	1	2010	1	
-97.59369388,30.33951626	CRASH/LEAVING THE SCENE	2015	1	2010	1	
-97.59990834,30.33629336	IMPOUNDED VEH	2015	1	2010	1	
-97.59990834,30.33629336	CRIMINAL MISCHIEF	2015	1	2010	1	
-97.59990834,30.33629336	CRASH/LEAVING THE SCENE	2015	1	2010	1	
-97.6074055,30.33445341	IMPOUNDED VEH	2015	1	2010	1	
-97.6074055,30.33445341	CRIMINAL MISCHIEF	2015	1	2010	1	
-97.6074055,30.33445341	CRASH/LEAVING THE SCENE	2015	2	2010	1	
-97.60748191,30.33466681	IMPOUNDED VEH	2015	1	2010	1	
-97.60748191,30.33466681	CRIMINAL MISCHIEF	2015	1	2010	1	
-97.60748191,30.33466681	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.60849798,30.17284593	IMPOUNDED VEH	2015	1	2010	1	
-97.60849798,30.17284593	CRIMINAL MISCHIEF	2015	2	2010	1	
-97.60849798,30.17284593	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.60949419,30.18635507	IMPOUNDED VEH	2015	1	2010	1	
-97.60949419,30.18635507	CRIMINAL MISCHIEF	2015	2	2010	1	
-97.60949419,30.18635507	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.60949419,30.18635507	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
