13500 	N SH 45 EB 	DWI 2ND 	1
9000 	W PARMER LN 	DWI 	1
"LAT:30°31'6.73""N LONG:97°54'12.31""W 18100 FM 1431" 	-97.90342708,30.51853402 	CRASH/CITY VEHICLE 	1
1000 	- 1050 E 51 ST 	CRASH/LEAVING THE SCENE 	1
0 	0 ED BLUESTEIN 	CRASH/LEAVING THE SCENE 	1
0 	0 N FM 620 WB TO N 45 W WB RAMP 	DWI 	1
0 	0 N IH 35 SB TO 290 EB RAMP 	DWI 2ND 	1
0 	0 N IH 35 SB TO AIRPORT RAMP 	CRASH/LEAVING THE SCENE 	1
0 	0 N MOPAC SVRD NB AT DUVAL TRN 	CRASH/NO INJURY 	1
0 	0 N US 183 HWY SVRD SB 	CRASH/LEAVING THE SCENE 	1
0 	0 S 35 NB TO E BEN WHITE EB RAMP 	CRASH/LEAVING THE SCENE 	1
0 	0 S MOPAC SB TO BEE CAVES RAMP 	CRASH/LEAVING THE SCENE 	1
0 	0 SPICEWOOD SPRINGS RD 	CRASH/LEAVING THE SCENE 	1
700 	1/2 E 5TH ST 	DWI 	1
1100 	1/2 GUNTER ST 	CRASH/LEAVING THE SCENE 	1
0 	3RD ST/ N IH 35 SVRD SB 	CRASH/LEAVING THE SCENE 	1
0 	5O1 BASTROP HWY NB 	DWI 2ND 	1
0 	5OO RIO GRANDE ST 	DWI 	1
0 	5TH/N IH 35 SVRD SB 	DWI  .15 BAC OR ABOVE 	1
0 	7TH AND TRINITY 	CRASH/LEAVING THE SCENE 	1
9400-9600 	ABERDEEN WAY 	CRASH/LEAVING THE SCENE 	2
5700 	ABILENE TRL 	DWI 	1
5300 	ABINGDON PL 	CRASH/LEAVING THE SCENE 	1
200-600 	ACADEMY DR 	CRASH/LEAVING THE SCENE 	2
4300 	ACROPOLIS CT 	DWI 2ND 	1
100 	ADAM L CHAPA SR ST 	CRASH/CITY VEHICLE 	1
ADAM L CHAPA SR ST / E 2ND ST 	-97.72320836,30.25766941 	CRASH/LEAVING THE SCENE 	1
4600 	ADELPHI LN 	CRASH/LEAVING THE SCENE 	1
1700 	ADINA ST 	CRASH/LEAVING THE SCENE 	1
8400 	ADIRONDACK TRL 	DWI 	1
2900 	AFTONSHIRE WAY 	DWI  .15 BAC OR ABOVE 	1
2900 	AFTONSHIRE WAY 	CRASH/LEAVING THE SCENE 	2
AFTONSHIRE WAY / WEST GATE BLVD 	-97.83979184,30.18166922 	DWI 	1
5600-5800 	AINEZ DR 	DWI 2ND 	1
5600-5800 	AINEZ DR 	CRASH/LEAVING THE SCENE 	3
0-6900 	AIRPORT BLVD 	CRASH/NO INJURY 	1
0-6900 	AIRPORT BLVD 	CRASH/CITY VEHICLE 	4
0-6900 	AIRPORT BLVD 	CRASH/FATALITY 	2
0-6900 	AIRPORT BLVD 	CRASH/LEAVING THE SCENE 	95
0-6900 	AIRPORT BLVD 	DRIVING WHILE INTOX / FELONY 	1
0-6900 	AIRPORT BLVD 	CRASH/AUTO VS BICYCLE 	1
0-6900 	AIRPORT BLVD 	DWI  .15 BAC OR ABOVE 	3
0-6900 	AIRPORT BLVD 	CRASH/FAIL STOP AND RENDER AID 	2
0-6900 	AIRPORT BLVD 	DWI 2ND 	12
0-6900 	AIRPORT BLVD 	CRASH/PRIVATE PROPERTY 	2
0-6900 	AIRPORT BLVD 	CRASH/SERIOUS BODILY INJURY 	2
0-6900 	AIRPORT BLVD 	DWI 	19
